zipcode,ID,"Population, 2016",city,population,unit,area,pop density,f_x_peak,lambda0,rho_mg1_array,radius_mg1_array,obj_mg1_array,lamb_endo_mg1_array,wait_endo_mg1_array,rho_pooling_array,radius_pooling_array,t_pooling_array,obj_pooling_array,lamb_endo_pooling_array,wait_endo_pooling_array,mode_opt_array,maximum profit,choice prob
M6R,0,19857,Toronto,"18,202",km²,2.347,8460.58798466127,423.0293992330635,35.252449936088624,2.0,0.3529411764705882,2101.77550601069,10.618337049195066,0.7823229629225241,2.0,0.2426470588235294,0.16666666666666666,3583.019795413966,17.16854869724036,0.3225107516300158,1.0,3583.019795413966,0.4870171783341668
M6A,1,21048,Yorkville,"20,004",km²,5.6,3758.571428571429,187.92857142857144,15.660714285714286,2.0,0.07352941176470588,1570.3951585488098,8.923502082986015,0.49758617040140757,2.0,0.2323529411764706,0.16666666666666666,1334.5310774696964,7.742491653620405,0.3236661885106687,0.0,1570.3951585488098,0.569801729358286
M6B,2,28522,—,"30,347",km²,5.3,5381.509433962265,269.07547169811323,22.42295597484277,2.0,0.23529411764705882,1849.487655267193,9.755420023069906,0.5537976395724175,2.0,0.2426470588235294,0.16666666666666666,2113.8815262444555,11.01504269988209,0.30548549239873096,1.0,2113.8815262444555,0.4912395454123139
M6E,3,38041,Toronto,"40,751",km²,5.0,7608.2,380.41,31.700833333333335,2.0,0.3382352941176471,2050.342397090036,10.422176688485816,0.6989953066418549,2.0,0.2426470588235294,0.16666666666666666,3168.955821247491,15.428098608251332,0.32384047277860234,1.0,3168.955821247491,0.48667801398232424
M6H,4,44950,Toronto,"44,169",km²,4.66,9645.922746781116,482.2961373390558,40.19134477825465,2.0,0.39705882352941174,2149.711128952144,10.764621514472864,0.8103110452161363,2.0,0.2426470588235294,0.16666666666666666,4140.212021668084,19.501807651252843,0.3297310698937047,1.0,4140.212021668084,0.4852240640080351
M6K,5,40957,Toronto,"38,814",km²,2.79,14679.928315412186,733.9964157706094,61.16636798088411,2.0,0.4411764705882353,2252.1109102593905,11.157123466741591,1.164366125179551,2.0,0.2426470588235294,0.16666666666666666,6466.145320873435,29.24460450372279,0.3583475704913402,1.0,6466.145320873435,0.47811575983819077
M5V,6,49195,Toronto,"28,887",km²,3.65,13478.082191780823,673.9041095890411,56.15867579908676,2.0,0.4411764705882353,2238.7868276778613,11.10107059434168,1.0764372048584419,2.0,0.2426470588235294,0.16666666666666666,5935.687010054995,27.027896115224557,0.34564598623097004,1.0,5935.687010054995,0.48127730454185813
M6J,7,32684,Toronto,"31,255",km²,2.856,11443.977591036415,572.1988795518208,47.68323996265173,2.0,0.4117647058823529,2200.4470511403374,10.963602253220138,0.973353507119646,2.0,0.2426470588235294,0.16666666666666666,4974.393086763487,22.994099552877152,0.34179459253540095,1.0,4974.393086763487,0.4822260310097942
M6G,8,32086,Toronto,"34,749",km²,3.821,8397.278199424234,419.86390997121174,34.988659164267645,2.0,0.3676470588235294,2097.624836347652,10.58007465744635,0.731615898368637,2.0,0.2426470588235294,0.16666666666666666,3549.133646780262,17.024471526870286,0.3242954302014041,1.0,3549.133646780262,0.4865711328617193
M6C,9,24596,—,"23,289",km²,3.02,8144.3708609271525,407.21854304635764,33.93487858719647,2.0,0.3529411764705882,2088.1851574655757,10.560655254357217,0.7326859141102988,2.0,0.2426470588235294,0.16666666666666666,3439.382529779858,16.5703716287927,0.3173654934332371,1.0,3439.382529779858,0.4882991281732374
M5N,10,16610,—,"18,496",km²,2.754,6031.227305737109,301.5613652868555,25.130113773904625,2.0,0.2647058823529412,1930.8495739980926,10.044737687806535,0.6124124366960308,2.0,0.2426470588235294,0.16666666666666666,2429.7502218805485,12.341198148122466,0.30610303633804875,1.0,2429.7502218805485,0.49109201252155477
M5M,11,25975,—,"25,976",km²,5.2,4995.192307692308,249.7596153846154,20.81330128205128,2.0,0.20588235294117646,1806.1512233647156,9.633249691217962,0.5297446491284546,2.0,0.2323529411764706,0.16666666666666666,1933.971142554477,10.253445218715667,0.3307334125843246,1.0,1933.971142554477,0.492639061904029
M4R,12,11394,Toronto,"12,363",km²,1.854,6145.631067961165,307.2815533980583,25.606796116504857,2.0,0.27941176470588236,1933.983662107307,10.02876761453263,0.6019152107202279,2.0,0.2426470588235294,0.16666666666666666,2476.594240456879,12.530716036717392,0.3130789574766635,1.0,2476.594240456879,0.4893511855097218
M5P,13,19423,Toronto,"21,137",km²,3.284,5914.4336175395865,295.72168087697935,24.643473406414945,2.0,0.2647058823529412,1919.0965119513014,9.994088162154808,0.5858272349505095,2.0,0.2426470588235294,0.16666666666666666,2374.704873129367,12.111603376959106,0.30457247707940965,1.0,2374.704873129367,0.4914730637689383
M4V,14,18241,Toronto,"20,223",km²,2.729,6684.1333821912785,334.20666910956396,27.85055575913033,2.0,0.3088235294117647,1984.5368641231935,10.190707043663632,0.6221776167521347,2.0,0.2426470588235294,0.16666666666666666,2734.2592206444056,13.61029324903542,0.31574712708603303,1.0,2734.2592206444056,0.4886901850988563
M5R,15,26496,Toronto,"26,436",km²,2.915,9089.536878216124,454.4768439108062,37.87307032590052,2.0,0.38235294117647056,2124.5118565639996,10.675086196137595,0.7850173975358415,2.0,0.2426470588235294,0.16666666666666666,3860.132298358464,18.31978307847472,0.3357595043545034,1.0,3860.132298358464,0.48371528689994386
M5S,16,15372,Toronto,"17,234",km²,1.917,8018.779342723004,400.93896713615027,33.41158059467919,2.0,0.3676470588235294,2073.345076972612,10.477224276110295,0.679225809698807,2.0,0.2426470588235294,0.16666666666666666,3360.1035583646476,16.227037457983577,0.3278885688849913,1.0,3360.1035583646476,0.48567105085018764
M5T,17,17748,Toronto,"18,957",km²,1.518,11691.699604743082,584.5849802371541,48.715415019762844,2.0,0.4411764705882353,2203.2690492004676,10.951651413490792,0.913798960584943,2.0,0.2426470588235294,0.16666666666666666,5071.4389046992155,23.394528579920717,0.3498082535918285,1.0,5071.4389046992155,0.480228456853545
M5G,18,8423,Toronto,"3,689",km²,0.663,12704.374057315234,635.2187028657618,52.93489190548015,2.0,0.4411764705882353,2222.775190950265,11.033711492886553,1.007767463702096,2.0,0.2426470588235294,0.16666666666666666,5520.006516402984,25.26852954252101,0.3613712750144141,1.0,5520.006516402984,0.47735111252593404
M5H,19,2005,Toronto,"2,203",km²,0.473,4238.900634249471,211.94503171247356,17.662085976039464,2.0,0.1764705882352941,1614.7715262532715,8.862537504247012,0.4628421561449448,2.0,0.2426470588235294,0.16666666666666666,1542.9245605533963,8.599045287858871,0.32295664322144574,0.0,1614.7715262532715,0.5017831708140253
M5E,20,9118,Toronto,"5,224",km²,0.429,21254.079254079254,1062.7039627039628,88.55866355866357,2.0,0.47058823529411764,2301.6892955142916,11.350485467997409,1.4923703364744352,2.0,0.2529411764705882,0.16666666666666666,9329.15359806362,41.2357725711668,0.3776795183248856,1.0,9329.15359806362,0.46563228163274106
M5C,21,2951,Toronto,"3,149",km²,0.286,10318.18181818182,515.909090909091,42.99242424242425,2.0,0.4117647058823529,2164.3417013506128,10.81138046730285,0.8554483891161033,2.0,0.2426470588235294,0.16666666666666666,4396.345395445046,20.55168129104502,0.3585857386867563,1.0,4396.345395445046,0.47803029610888853
M5B,22,12785,Toronto,"8,874",km²,0.596,21451.342281879195,1072.5671140939598,89.38059284116332,2.0,0.4852941176470588,2302.8990140075075,11.351688817640039,1.466674692816895,2.0,0.2529411764705882,0.16666666666666666,9484.605591577032,41.89830330629603,0.36509633040793926,1.0,9484.605591577032,0.4687628709372377
M4Y,23,30472,Toronto,"32,991",km²,0.973,31317.574511819115,1565.8787255909558,130.48989379924632,2.0,0.4852941176470588,2334.1956736450707,11.483129148705336,1.8625002822885846,2.0,0.2529411764705882,0.16666666666666666,13874.739037934563,60.314169501362855,0.3915162500984849,1.0,13874.739037934563,0.4622133388670994
M4X,24,20822,Toronto,"18,845",km²,1.159,17965.48748921484,898.274374460742,74.8561978717285,2.0,0.45588235294117646,2282.9463492338373,11.27807975866976,1.3468395894618308,2.0,0.2529411764705882,0.16666666666666666,7973.487674429821,35.574217840027345,0.3390663838613749,1.0,7973.487674429821,0.4752341002008456
M4W,25,14561,Toronto,"15,209",km²,4.513,3226.4569022822957,161.32284511411478,13.443570426176231,2.0,0.0,1414.5642457888405,8.411161775370406,0.4860181473652981,1.8105263157894738,0.2426470588235294,0.16666666666666666,1073.1902747372499,6.502371382470029,0.33569157125853816,0.0,1414.5642457888405,0.6256642773256778
M4T,26,10463,Toronto,"9,629",km²,1.677,6239.117471675611,311.9558735837806,25.996322798648382,2.0,0.27941176470588236,1943.302786527997,10.068810454036328,0.6203553107218498,2.0,0.2426470588235294,0.16666666666666666,2521.4540957805016,12.718732913721206,0.31348295943467497,1.0,2521.4540957805016,0.4892512303464122
M4S,27,26506,Toronto,"30,411",km²,3.079,8608.63916856122,430.431958428061,35.869329869005085,2.0,0.3676470588235294,2110.3442670068166,10.633954857553169,0.7606592683366066,2.0,0.2426470588235294,0.16666666666666666,3655.7874846078607,17.474823241026044,0.3218630163277325,1.0,3655.7874846078607,0.4871800868553764
M4P,28,20039,Toronto,"19,404",km²,2.034,9852.015732546706,492.6007866273353,41.05006555227794,2.0,0.39705882352941174,2155.5185105454107,10.789139689936658,0.839487217112991,2.0,0.2426470588235294,0.16666666666666666,4224.688893681356,19.850347261344844,0.3363874443857642,1.0,4224.688893681356,0.48356432552014067
M4N,29,15330,—,"16,122",km²,4.894,3132.4070290151203,156.62035145075603,13.05169595422967,2.0,0.0,1390.9309190350066,8.30161275550075,0.4412438551831384,1.8105263157894738,0.2426470588235294,0.16666666666666666,1029.5701790572593,6.321886408547078,0.33290580320731233,0.0,1390.9309190350066,0.6360562477560966
M3C,30,39153,Yorkville,"39,971",km²,9.9,3954.8484848484845,197.74242424242425,16.478535353535353,2.0,0.11764705882352941,1601.6613178401979,8.947450938739852,0.4741526223959371,2.0,0.2323529411764706,0.16666666666666666,1425.331219568313,8.116627387570963,0.33101082777449625,0.0,1601.6613178401979,0.5429761047798608
M4G,31,19076,Toronto,"18,801",km²,6.6,2890.3030303030305,144.51515151515153,12.042929292929294,2.0,0.0,1303.8050600815388,7.897752877749694,0.35383250736019356,1.7157894736842105,0.2426470588235294,0.16666666666666666,914.5384125046619,5.762376032279197,0.35649997917171455,0.0,1303.8050600815388,0.655799987332539
M4H,32,19688,—,"16,939",km²,1.104,17833.333333333332,891.6666666666666,74.30555555555556,2.0,0.4411764705882353,2282.859050350551,11.286477331258588,1.3948833593822036,2.0,0.2426470588235294,0.16666666666666666,7930.939260450042,35.389975287356,0.3657829037283263,1.0,7930.939260450042,0.4762763029326415
M4K,33,31583,Toronto,"31,399",km²,4.118,7669.499757163671,383.47498785818357,31.956248988181965,2.0,0.3529411764705882,2055.544046994138,10.422115920267082,0.6645472363591753,2.0,0.2426470588235294,0.16666666666666666,3202.514674522004,15.571387380588911,0.3214630259506629,1.0,3202.514674522004,0.48727206332468836
M4J,34,35738,Toronto,"41,891",km²,5.3,6743.018867924528,337.15094339622647,28.09591194968554,2.0,0.3088235294117647,1996.2575648627226,10.240797369118473,0.6265234686705015,2.0,0.2426470588235294,0.16666666666666666,2771.8321290740632,13.774608726827724,0.3094187545640799,1.0,2771.8321290740632,0.4902709245208143
M5A,35,41078,Toronto,"40,959",km²,4.097,10026.360751769587,501.3180375884794,41.776503132373286,2.0,0.4117647058823529,2158.4919164429352,10.786717509844614,0.8168478990557462,2.0,0.2426470588235294,0.16666666666666666,4294.238312293233,20.136757322407835,0.3426154614390694,1.0,4294.238312293233,0.4820115570372748
