zipcode,city,population,area,unit
M2K,Yorkville,"20,092",5.700 ,km²
M2N,Yorkville,"69,161",9.600 ,km²
M3C,Yorkville,"39,971",9.900 ,km²
M3J,Yorkville,"28,939",13.100 ,km²
M3N,Yorkville,"44,702",6.700 ,km²
M3V,Toronto,—,—,
M4B,Toronto,"23,213",4.946 ,km²
M4C,Toronto,"44,390",4.977 ,km²
M4E,Toronto,"25,305",3.720 ,km²
M4G,Toronto,"18,801",6.600 ,km²
M4H,—,"16,939",1.104 ,km²
M4J,Toronto,"41,891",5.300 ,km²
M4K,Toronto,"31,399",4.118 ,km²
M4L,Toronto,"32,100",4.424 ,km²
M4M,Toronto,"24,031",9.000 ,km²
M4N,—,"16,122",4.894 ,km²
M4P,Toronto,"19,404",2.034 ,km²
M4R,Toronto,"12,363",1.854 ,km²
M4S,Toronto,"30,411",3.079 ,km²
M4T,Toronto,"9,629",1.677 ,km²
M4V,Toronto,"20,223",2.729 ,km²
M4W,Toronto,"15,209",4.513 ,km²
M4X,Toronto,"18,845",1.159 ,km²
M4Y,Toronto,"32,991",0.973 ,km²
M5A,Toronto,"40,959",4.097 ,km²
M5B,Toronto,"8,874",0.596 ,km²
M5C,Toronto,"3,149",0.286 ,km²
M5E,Toronto,"5,224",0.429 ,km²
M5G,Toronto,"3,689",0.663 ,km²
M5H,Toronto,"2,203",0.473 ,km²
M5J,Toronto,"10,669",4.189 ,km²
M5K,Toronto,—,—,
M5L,Toronto,—,—,
M5M,—,"25,976",5.200 ,km²
M5N,—,"18,496",2.754 ,km²
M5P,Toronto,"21,137",3.284 ,km²
M5R,Toronto,"26,436",2.915 ,km²
M5S,Toronto,"17,234",1.917 ,km²
M5T,Toronto,"18,957",1.518 ,km²
M5V,Toronto,"28,887",3.650 ,km²
M5W,Toronto,—,—,
M5X,Toronto,—,—,
M6A,Yorkville,"20,004",5.600 ,km²
M6B,—,"30,347",5.300 ,km²
M6C,—,"23,289",3.020 ,km²
M6E,Toronto,"40,751",5.000 ,km²
M6G,Toronto,"34,749",3.821 ,km²
M6H,Toronto,"44,169",4.660 ,km²
M6J,Toronto,"31,255",2.856 ,km²
M6K,Toronto,"38,814",2.790 ,km²
M6L,Yorkville,"22,165",4.886 ,km²
M6M,Yorkville,"45,050",8.400 ,km²
M6N,Toronto,"43,109",8.400 ,km²
M6P,Toronto,"42,843",4.167 ,km²
M6R,Toronto,"18,202",2.347 ,km²
M6S,Toronto,"33,629",8.500 ,km²
M7A,Toronto,—,—,
M7Y,Toronto,—,—,
M8V,Etobicoke West Mall,"29,565",6.700 ,km²
M9M,Yorkville,"20,579",6.500 ,km²
M9N,Yorkville,"23,957",4.853 ,km²
M9V,Etobicoke West Mall,"59,365",15.800 ,km²
M9W,Etobicoke West Mall,"42,971",27.500 ,km²