zipcode,lat,long
M6R,43.64626179,-79.44831848
M6A,43.72198619,-79.44900513
M6B,43.7075935,-79.4455719
M6E,43.68823237,-79.44934845
M6H,43.66464305,-79.43767548
M6K,43.64029909,-79.43183899
M5V,43.63731752,-79.40231323
M6J,43.64725552,-79.41673279
M6G,43.66787161,-79.42050934
M6C,43.69096316,-79.43252563
M5N,43.71032342,-79.41982269
M5M,43.73215825,-79.41913605
M4R,43.71305321,-79.40608978
M5P,43.69617615,-79.41570282
M4V,43.68649452,-79.40265656
M5R,43.67134833,-79.40299988
M5S,43.66290452,-79.39750671
M5T,43.65296912,-79.39750671
M5G,43.65520473,-79.38480377
M5H,43.64775237,-79.38205719
M5E,43.64427429,-79.37244415
M5C,43.65023659,-79.37519073
M5B,43.65731606,-79.37742233
M4Y,43.66675405,-79.38102722
M4X,43.66898915,-79.36763763
M4W,43.68252212,-79.37124252
M4T,43.68798411,-79.38394547
M4S,43.70089228,-79.38497543
M4P,43.71354952,-79.38858032
M4N,43.72992551,-79.39235687
M3C,43.72359895,-79.33982849
M4G,43.71131608,-79.36214447
M4H,43.70387069,-79.3429184
M4K,43.67966679,-79.35407639
M4J,43.68736345,-79.3362236
M5A,43.6564467,-79.36248779